Source,Destination,Time,frame length,flow lengths,flow bits,Port number,Protocol,Source port number,port 1 status,port 2 status,port 3 status,routing_interface
25.45.123.210/24,201.0.113.19/24,5.754884,186,144,1488,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
37.201.76.99/24,185.44.17.238/24,5.797261,733,691,5864,3478,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
25.45.123.210/24,185.44.17.238/24,5.828625,871,829,6968,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
201.0.113.19/24,37.201.76.99/24,5.860471,771,729,6168,8802,UDP,GigabitEthernet2/0,up,down,up,GigabitEthernet0/0
37.201.76.99/24,201.0.113.19/24,5.93558,918,876,7344,25102,UDP,GigabitEthernet0/0,up,down,up,GigabitEthernet2/0
201.0.113.19/24,68.151.104.83/24,5.966334,664,622,5312,56009,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
185.44.17.238/24,37.201.76.99/24,6.078077,806,764,6448,3478,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
37.201.76.99/24,102.67.88.14/24,6.119762,166,124,1328,53875,UDP,GigabitEthernet0/0,up,down,down,GigabitEthernet0/0-TI-LFA
201.0.113.19/24,25.45.123.210/24,6.172408,845,803,6760,26541,UDP,GigabitEthernet1/0,up,up,down,GigabitEthernet0/0
68.151.104.83/24,201.0.113.19/24,6.213635,831,789,6648,3478,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
185.44.17.238/24,25.45.123.210/24,6.246358,1009,967,8072,8805,UDP,GigabitEthernet1/0,down,up,down,GigabitEthernet1/0-TI-LFA
68.151.104.83/24,102.67.88.14/24,6.288773,807,765,6456,20,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
68.151.104.83/24,185.44.17.238/24,6.328925,739,697,5912,3480,UDP,GigabitEthernet2/0,down,down,up,GigabitEthernet2/0
37.201.76.99/24,201.0.113.19/24,6.394788,237,195,1896,8802,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
201.0.113.19/24,68.151.104.83/24,6.434607,701,659,5608,443,TCP,GigabitEthernet1/0,down,up,down,GigabitEthernet1/0-TI-LFA
185.44.17.238/24,25.45.123.210/24,6.530241,231,189,1848,143,TCP,GigabitEthernet1/0,up,up,down,GigabitEthernet0/0
68.151.104.83/24,185.44.17.238/24,6.621604,722,680,5776,53,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
185.44.17.238/24,37.201.76.99/24,6.676904,930,888,7440,39001,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
185.44.17.238/24,68.151.104.83/24,6.705232,711,669,5688,8806,UDP,GigabitEthernet2/0,up,down,up,GigabitEthernet0/0
25.45.123.210/24,185.44.17.238/24,6.750441,487,445,3896,443,TCP,GigabitEthernet2/0,down,up,up,GigabitEthernet1/0
102.67.88.14/24,37.201.76.99/24,6.768049,508,466,4064,8802,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
37.201.76.99/24,185.44.17.238/24,6.835739,1461,1419,11688,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
102.67.88.14/24,37.201.76.99/24,6.875062,1096,1054,8768,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
201.0.113.19/24,68.151.104.83/24,6.931472,253,211,2024,20,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
185.44.17.238/24,25.45.123.210/24,6.95797,1014,972,8112,143,TCP,GigabitEthernet1/0,up,up,down,GigabitEthernet0/0
68.151.104.83/24,102.67.88.14/24,7.037844,795,753,6360,25101,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
37.201.76.99/24,201.0.113.19/24,7.06297,622,580,4976,29654,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
201.0.113.19/24,37.201.76.99/24,7.129821,967,925,7736,8804,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
25.45.123.210/24,185.44.17.238/24,7.144784,907,865,7256,3479,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
37.201.76.99/24,201.0.113.19/24,7.20242,1048,1006,8384,8801,UDP,GigabitEthernet0/0,up,down,up,GigabitEthernet2/0
25.45.123.210/24,185.44.17.238/24,7.239833,1039,997,8312,3479,UDP,GigabitEthernet2/0,down,up,up,GigabitEthernet1/0
37.201.76.99/24,185.44.17.238/24,7.306128,1053,1011,8424,443,TCP,GigabitEthernet2/0,down,up,up,GigabitEthernet1/0
25.45.123.210/24,185.44.17.238/24,7.335249,1290,1248,10320,26784,UDP,GigabitEthernet0/0,up,up,down,GigabitEthernet1/0
201.0.113.19/24,25.45.123.210/24,7.391668,1131,1089,9048,8805,UDP,GigabitEthernet2/0,up,down,up,GigabitEthernet0/0
68.151.104.83/24,201.0.113.19/24,7.430458,968,926,7744,143,TCP,GigabitEthernet0/0,up,down,up,GigabitEthernet2/0
68.151.104.83/24,102.67.88.14/24,7.498149,1268,1226,10144,8802,UDP,GigabitEthernet0/0,up,up,down,GigabitEthernet1/0
68.151.104.83/24,102.67.88.14/24,7.536749,728,686,5824,8801,UDP,GigabitEthernet2/0,down,up,up,GigabitEthernet1/0
37.201.76.99/24,201.0.113.19/24,7.601717,498,456,3984,8801,UDP,GigabitEthernet0/0,up,down,up,GigabitEthernet2/0
102.67.88.14/24,25.45.123.210/24,7.619026,145,103,1160,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
185.44.17.238/24,68.151.104.83/24,7.676694,481,439,3848,3480,UDP,GigabitEthernet1/0,up,up,down,GigabitEthernet0/0
37.201.76.99/24,102.67.88.14/24,7.724629,104,62,832,443,TCP,GigabitEthernet2/0,down,up,up,GigabitEthernet1/0
102.67.88.14/24,37.201.76.99/24,7.812465,712,670,5696,80,TCP,GigabitEthernet1/0,up,up,down,GigabitEthernet0/0
102.67.88.14/24,68.151.104.83/24,7.840197,279,237,2232,28050,UDP,GigabitEthernet1/0,up,up,down,GigabitEthernet0/0
201.0.113.19/24,68.151.104.83/24,7.908316,296,254,2368,443,TCP,GigabitEthernet2/0,down,down,up,GigabitEthernet2/0
201.0.113.19/24,68.151.104.83/24,7.936492,904,862,7232,20,TCP,GigabitEthernet2/0,up,down,up,GigabitEthernet0/0
37.201.76.99/24,185.44.17.238/24,8.01121,978,936,7824,3481,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
25.45.123.210/24,185.44.17.238/24,8.062401,577,535,4616,443,TCP,GigabitEthernet0/0,up,up,down,GigabitEthernet1/0
201.0.113.19/24,37.201.76.99/24,8.139458,1362,1320,10896,8804,UDP,GigabitEthernet2/0,up,down,up,GigabitEthernet0/0
37.201.76.99/24,185.44.17.238/24,8.170208,805,763,6440,25010,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
25.45.123.210/24,185.44.17.238/24,8.243191,245,203,1960,3479,UDP,GigabitEthernet2/0,down,up,up,GigabitEthernet1/0
37.201.76.99/24,201.0.113.19/24,8.274306,1076,1034,8608,443,TCP,GigabitEthernet0/0,up,up,down,GigabitEthernet1/0
68.151.104.83/24,185.44.17.238/24,8.362877,916,874,7328,3480,UDP,GigabitEthernet2/0,down,down,up,GigabitEthernet2/0
102.67.88.14/24,25.45.123.210/24,8.393324,423,381,3384,3481,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
201.0.113.19/24,37.201.76.99/24,8.492426,1156,1114,9248,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
201.0.113.19/24,37.201.76.99/24,8.513596,901,859,7208,28009,UDP,GigabitEthernet1/0,down,up,up,GigabitEthernet2/0
102.67.88.14/24,25.45.123.210/24,8.588941,894,852,7152,80,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
68.151.104.83/24,185.44.17.238/24,8.61945,692,650,5536,26501,UDP,GigabitEthernet0/0,up,up,down,GigabitEthernet1/0
68.151.104.83/24,102.67.88.14/24,8.684135,1094,1052,8752,20,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
25.45.123.210/24,102.67.88.14/24,8.706283,607,565,4856,80,TCP,GigabitEthernet2/0,down,up,up,GigabitEthernet1/0
201.0.113.19/24,37.201.76.99/24,8.786677,318,276,2544,8804,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
25.45.123.210/24,185.44.17.238/24,8.838813,513,471,4104,443,TCP,GigabitEthernet0/0,up,up,down,GigabitEthernet1/0
37.201.76.99/24,185.44.17.238/24,8.892097,1132,1090,9056,443,TCP,GigabitEthernet2/0,down,up,up,GigabitEthernet1/0
25.45.123.210/24,185.44.17.238/24,8.932745,453,411,3624,64001,UDP,GigabitEthernet0/0,up,down,down,GigabitEthernet0/0-TI-LFA
25.45.123.210/24,185.44.17.238/24,8.988656,837,795,6696,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
37.201.76.99/24,185.44.17.238/24,9.031794,827,785,6616,3480,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
68.151.104.83/24,102.67.88.14/24,9.111252,426,384,3408,27005,UDP,GigabitEthernet0/0,up,down,up,GigabitEthernet2/0
68.151.104.83/24,102.67.88.14/24,9.159032,320,278,2560,443,TCP,GigabitEthernet0/0,up,down,down,GigabitEthernet0/0-TI-LFA
25.45.123.210/24,185.44.17.238/24,9.204654,270,228,2160,3479,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
185.44.17.238/24,68.151.104.83/24,9.22162,436,394,3488,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
201.0.113.19/24,68.151.104.83/24,9.28846,906,864,7248,443,TCP,GigabitEthernet1/0,down,up,down,GigabitEthernet1/0-TI-LFA
37.201.76.99/24,201.0.113.19/24,9.31668,832,790,6656,443,TCP,GigabitEthernet2/0,down,down,up,GigabitEthernet2/0
102.67.88.14/24,68.151.104.83/24,9.36436,773,731,6184,20,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
201.0.113.19/24,37.201.76.99/24,9.389326,1144,1102,9152,27001,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
185.44.17.238/24,68.151.104.83/24,9.428338,707,665,5656,443,TCP,GigabitEthernet1/0,up,up,down,GigabitEthernet0/0
25.45.123.210/24,185.44.17.238/24,9.474626,721,679,5768,8803,UDP,GigabitEthernet0/0,up,up,down,GigabitEthernet1/0
201.0.113.19/24,68.151.104.83/24,9.531292,516,474,4128,443,TCP,GigabitEthernet1/0,down,up,down,GigabitEthernet1/0-TI-LFA
25.45.123.210/24,201.0.113.19/24,9.556902,203,161,1624,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
25.45.123.210/24,185.44.17.238/24,9.624552,748,706,5984,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
25.45.123.210/24,102.67.88.14/24,9.661984,246,204,1968,3481,UDP,GigabitEthernet0/0,up,up,down,GigabitEthernet1/0
102.67.88.14/24,37.201.76.99/24,9.728911,1115,1073,8920,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
37.201.76.99/24,201.0.113.19/24,9.755954,680,638,5440,8801,UDP,GigabitEthernet0/0,up,down,up,GigabitEthernet2/0
102.67.88.14/24,25.45.123.210/24,9.801621,312,270,2496,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
185.44.17.238/24,37.201.76.99/24,9.839768,290,248,2320,53,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
102.67.88.14/24,68.151.104.83/24,9.893171,313,271,2504,29456,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
